PO_Item_Code,Ordered,Unit_Cost,Department_Name,Department_Code,Order_Date
22-50532,6.0,58.18,026401 Electricians,026401,2025-04-08
20-11120S,2.0,7.085,026401 Electricians,026401,2024-07-24
20-00121S,5.0,35.58,026401 Electricians,026401,2025-04-24
91-00382,10.0,17.52,026809 Preventive Maintenance,026809,2025-05-12
35-10184K,2.0,77.77,026401 Electricians,026401,2025-04-24
20-10902,2.0,30.98,026401 Electricians,026401,2024-07-05
35-20031K,16.0,3.86,026804 Stores,026804,2024-07-23
71-00233,1.0,55.02,026403 Mechanicals,026403,2024-09-26
20-10564,100.0,25.67,026401 Electricians,026401,2024-08-21
20-10038,50.0,2.5746,026401 Electricians,026401,2024-09-26
15-11228,6.0,134.55,026400 Carpenters,026400,2024-12-19
70-11477,2.0,22.93,026403 Mechanicals,026403,2024-12-20
91-00364K,4.0,29.45,026809 Preventive Maintenance,026809,2024-12-20
35-10757S,3.0,7.19,026400 Carpenters,026400,2025-02-04
59-10495S,4.0,0.87,026404 Plumbing,026404,2025-03-07
71-00645,1.0,1440.0,026403 Mechanicals,026403,2025-01-09
95-11041S,1.0,54.8449,026809 Preventive Maintenance,026809,2025-03-31
30-10540,6.0,80.85,026803 Custodial Services,026803,2024-05-31
22-11266,5.0,10.38,026401 Electricians,026401,2024-05-15
71-00605,2.0,64.05,026403 Mechanicals,026403,2024-10-30
30-10542,3.0,50.53,026803 Custodial Services,026803,2024-05-31
71-57172S,1.0,83.0,026403 Mechanicals,026403,2025-03-04
30-21512,12.0,87.36,026803 Custodial Services,026803,2025-02-24
95-10148S,4.0,107.5469,026809 Preventive Maintenance,026809,2025-03-31
71-00543S,2.0,24.93,026403 Mechanicals,026403,2024-06-24
15-10893,1.0,477.6,026400 Carpenters,026400,2024-08-08
70-14046,6.0,60.0,026403 Mechanicals,026403,2024-11-25
15-11225,4.0,185.5,026400 Carpenters,026400,2024-12-04
20-10071,1.0,107.91,026401 Electricians,026401,2025-02-04
15-10893,1.0,477.6,026400 Carpenters,026400,2024-06-19
22-52050,20.0,38.78,026401 Electricians,026401,2024-09-26
90-10670,4.0,1050.33,026809 Preventive Maintenance,026809,2024-10-02
20-11052S,25.0,0.4356,026401 Electricians,026401,2024-08-27
20-11020S,20.0,0.8265,026401 Electricians,026401,2024-07-24
20-10759S,100.0,1.0477,026401 Electricians,026401,2024-09-26
20-11020S,100.0,0.8262,026401 Electricians,026401,2024-09-26
22-12974,1.0,121.0,026401 Electricians,026401,2025-04-29
71-00177,2.0,154.7,026403 Mechanicals,026403,2024-11-25
70-19224,4.0,170.7378,026403 Mechanicals,026403,2024-11-25
30-25010S,1.0,52.72,026803 Custodial Services,026803,2025-02-25
70-11246,4.0,469.2,026403 Mechanicals,026403,2024-06-25
35-10371K,2.0,15.53,026809 Preventive Maintenance,026809,2024-08-14
20-10565,100.0,20.38,026401 Electricians,026401,2024-09-26
58-00412,1.0,99.95,026404 Plumbing,026404,2024-10-07
71-00604,1.0,80.47,026403 Mechanicals,026403,2024-10-30
91-00363K,4.0,23.42,026809 Preventive Maintenance,026809,2024-12-20
59-11250S,10.0,2.38,026404 Plumbing,026404,2025-01-14
71-00509,4.0,71.17,026403 Mechanicals,026403,2024-10-25
15-11230,2.0,458.4,026400 Carpenters,026400,2024-12-26
20-11961,1.0,259.91,026401 Electricians,026401,2025-02-04
20-11961,1.0,259.91,026401 Electricians,026401,2025-03-17
95-10149S,1.0,653.76,026809 Preventive Maintenance,026809,2025-03-31
22-50387S,50.0,2.2666,026401 Electricians,026401,2024-05-15
59-11493,8.0,17.67,026404 Plumbing,026404,2025-01-14
30-10826,50.0,6.87,026803 Custodial Services,026803,2025-04-28
70-11226,4.0,301.0172,026403 Mechanicals,026403,2024-11-25
15-26636,1.0,147.6,026400 Carpenters,026400,2024-12-26
70-11226,1.0,301.02,026403 Mechanicals,026403,2025-02-07
44-10551S,2.0,11.05,026402 Painters,026402,2024-06-24
22-10512,2.0,61.91,026401 Electricians,026401,2024-07-17
44-10553S,2.0,18.26,026402 Painters,026402,2024-06-24
71-00548,8.0,18.38,026403 Mechanicals,026403,2024-07-09
22-12899,14.0,79.23,026401 Electricians,026401,2024-08-22
22-12901,40.0,1.71,026401 Electricians,026401,2024-08-22
90-12102,12.0,16.03,026809 Preventive Maintenance,026809,2025-04-28
70-19140,4.0,413.92,026403 Mechanicals,026403,2024-08-28
58-11970S,4.0,6.01,026404 Plumbing,026404,2025-01-17
55-53708,4.0,12.66,026404 Plumbing,026404,2025-01-17
95-10105S,2.0,135.95,026809 Preventive Maintenance,026809,2025-02-05
90-51817K,6.0,8.74,026809 Preventive Maintenance,026809,2025-02-25
58-00416,2.0,1.66,026404 Plumbing,026404,2024-10-21
35-10763S,1.0,1.47,026401 Electricians,026401,2025-02-06
35-20013K,4.0,15.33,026804 Stores,026804,2025-02-11
95-10143,4.0,39.695,026809 Preventive Maintenance,026809,2025-02-27
Custodial Tool,1.0,64.35,026803 Custodial Services,026803,2025-04-10
Custodial Tool,50.0,11.0,026803 Custodial Services,026803,2024-08-27
71-00553,1.0,406.3,026403 Mechanicals,026403,2024-07-17
59-11474,2.0,40.97,026404 Plumbing,026404,2024-08-05
30-10113S,30.0,5.09,026803 Custodial Services,026803,2024-09-23
30-10462S,12.0,7.95,026803 Custodial Services,026803,2024-09-23
15-50418,3.0,83.1,026400 Carpenters,026400,2024-12-26
58-00452,6.0,8.39,026404 Plumbing,026404,2025-01-03
58-00475,1.0,14.83,026404 Plumbing,026404,2025-01-28
22-11710,5.0,41.33,026401 Electricians,026401,2024-09-23
15-11235,4.0,471.99,026400 Carpenters,026400,2025-01-30
30-22052,2.0,54.59,026803 Custodial Services,026803,2024-05-31
71-13232S,1.0,158.73,026403 Mechanicals,026403,2024-06-12
44-10536,3.0,92.0,026402 Painters,026402,2024-06-24
71-13290,2.0,37.52,026403 Mechanicals,026403,2025-03-26
15-10904,3.0,193.7,026400 Carpenters,026400,2025-03-31
22-12675,1.0,189.99,026401 Electricians,026401,2024-06-19
Custodial Tool,8.0,310.0,026803 Custodial Services,026803,2025-02-27
95-10145,2.0,87.24,026809 Preventive Maintenance,026809,2025-02-27
58-00450,6.0,29.12,026404 Plumbing,026404,2025-01-03
95-10107S,1.0,135.95,026809 Preventive Maintenance,026809,2025-02-05
35-10254K,6.0,10.8,026809 Preventive Maintenance,026809,2025-02-07
35-10022S,96.0,2.6925,026804 Stores,026804,2025-02-17
30-10546,4.0,52.38,026803 Custodial Services,026803,2024-05-31
35-50341K,16.0,3.02,026804 Stores,026804,2025-04-15
35-50344K,16.0,8.62,026804 Stores,026804,2025-04-15
44-10550S,2.0,19.99,026402 Painters,026402,2024-06-24
44-10552S,2.0,12.73,026402 Painters,026402,2024-06-24
15-10157,1.0,125.03,026400 Carpenters,026400,2024-07-17
22-12900,1.0,9.03,026401 Electricians,026401,2025-04-10
35-50350K,12.0,13.23,026804 Stores,026804,2025-04-15
35-10776K,10.0,52.33,026804 Stores,026804,2025-04-15
59-11049S,24.0,0.99,026404 Plumbing,026404,2024-08-05
40-10429S,200.0,2.31,026808 Facility Repair,026808,2024-10-02
55-54118,1.0,244.63,026404 Plumbing,026404,2025-01-14
95-10144,2.0,39.695,026809 Preventive Maintenance,026809,2025-02-27
71-00571,2.0,5.25,026403 Mechanicals,026403,2024-08-16
35-50482K,12.0,11.59,026804 Stores,026804,2025-04-15
70-19169,2.0,148.33,026403 Mechanicals,026403,2024-10-29
58-00426,6.0,24.7,026404 Plumbing,026404,2025-01-03
58-00451,6.0,8.39,026404 Plumbing,026404,2025-01-03
20-11373,10.0,2.34,026401 Electricians,026401,2024-07-23
22-12900,4.0,7.37,026401 Electricians,026401,2024-08-22
22-11338S,50.0,1.4566,026401 Electricians,026401,2025-04-11
35-10730S,1.0,38.97,026401 Electricians,026401,2024-09-25
90-12116,12.0,4.9,026809 Preventive Maintenance,026809,2024-10-29
30-10796S,300.0,2.94,026803 Custodial Services,026803,2024-07-19
58-00407,1.0,0.88,026404 Plumbing,026404,2024-08-13
58-13820,5.0,31.71,026404 Plumbing,026404,2025-04-18
91-00260,12.0,10.78,026809 Preventive Maintenance,026809,2024-09-30
59-11134S,1.0,2.48,026404 Plumbing,026404,2024-12-27
59-11590S,10.0,2.52,026404 Plumbing,026404,2024-06-26
30-10271S,60.0,3.9,026803 Custodial Services,026803,2025-03-12
70-19149X,5.0,67.37,026403 Mechanicals,026403,2025-01-17
40-10433,1.0,757.5,026808 Facility Repair,026808,2025-02-26
70-11070,1.0,175.54,026403 Mechanicals,026403,2025-03-07
35-10773S,1.0,20.85,026400 Carpenters,026400,2025-03-19
30-10818,30.0,8.95,026803 Custodial Services,026803,2024-08-28
Custodial Tool,2.0,67.5,026803 Custodial Services,026803,2025-04-07
Custodial Tool,2.0,83.683,026803 Custodial Services,026803,2025-04-07
71-00463,12.0,969.76,026403 Mechanicals,026403,2024-11-04
70-11049,1.0,164.5,026403 Mechanicals,026403,2024-12-04
58-00428,6.0,14.99,026404 Plumbing,026404,2025-02-12
59-11085,2.0,224.69,026404 Plumbing,026404,2025-02-12
59-11458S,4.0,3.364,026404 Plumbing,026404,2024-05-16
58-00483,2.0,33.55,026404 Plumbing,026404,2025-02-06
59-11134S,12.0,2.48,026404 Plumbing,026404,2024-12-27
91-00318,1.0,56.06,026809 Preventive Maintenance,026809,2024-06-12
30-10596,50.0,82.93,026803 Custodial Services,026803,2024-08-28
35-10589S,10.0,1.23,026803 Custodial Services,026803,2024-10-21
59-11136S,1.0,4.67,026404 Plumbing,026404,2024-12-27
59-11136S,5.0,4.67,026404 Plumbing,026404,2024-12-27
30-10534,4.0,21.42,026803 Custodial Services,026803,2025-03-13
20-00377,3.0,2.97,026401 Electricians,026401,2024-05-21
30-10796S,180.0,2.94,026803 Custodial Services,026803,2024-05-31
91-00316,1.0,69.03,026809 Preventive Maintenance,026809,2024-06-12
71-00690,1.0,32.53,026403 Mechanicals,026403,2025-05-12
